2022-06-19 12:34:28,924 [main] INFO  marytts.main Mary starting up...
2022-06-19 12:34:28,926 [main] INFO  marytts.main Specification version 5.2.1
2022-06-19 12:34:28,926 [main] INFO  marytts.main Implementation version unknown
2022-06-19 12:34:28,926 [main] INFO  marytts.main Running on a Java 12.0.2 implementation by Oracle Corporation, on a Mac OS X platform (x86_64, 10.16)
2022-06-19 12:34:29,023 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2022-06-19 12:34:29,025 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2022-06-19 12:34:29,390 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2022-06-19 12:34:29,391 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2022-06-19 12:34:29,427 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2022-06-19 12:34:29,428 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2022-06-19 12:34:29,450 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2022-06-19 12:34:29,455 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2022-06-19 12:34:29,455 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2022-06-19 12:34:29,457 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2022-06-19 12:34:29,458 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2022-06-19 12:34:29,458 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2022-06-19 12:34:29,459 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2022-06-19 12:34:29,459 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2022-06-19 12:34:29,460 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
